time,Red,Green,Blue,,accuracy,precision,,Red after Sorting,Green after sorting,Blue after sorting,,,Reading (red),Repeated,Accuracy,precision,,Reading (Green),Repeated,,Reading (Blue),Repeated
4846,176,229,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4878,176,229,171,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5028,176,229,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5095,176,230,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5195,176,228,175,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5262,176,230,177,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5312,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5346,176,228,177,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5379,176,229,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
5628,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
7030,176,222,177,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
7729,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
7830,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
7863,176,228,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
7897,176,229,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
8496,176,228,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
8529,176,227,169,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
8712,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
8746,176,228,176,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
8963,176,228,177,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9312,176,222,176,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9346,176,228,170,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9662,176,227,176,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9696,176,222,176,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9729,176,228,170,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9763,176,228,176,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
9796,176,227,175,,0.983240223,0.970849288,,176,228,176,,,,,,,,,,,,
10429,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
10879,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
11030,176,236,176,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
11731,176,235,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
12246,176,236,177,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
12429,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
12462,176,236,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
14046,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
14312,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
14746,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
15162,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
15196,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
15514,176,236,176,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
15697,176,237,183,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
27848,176,236,183,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
27881,176,237,183,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
29281,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
30047,176,236,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
30531,176,236,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
30748,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
31297,176,232,179,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
32214,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
34764,176,236,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
35598,176,236,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
35982,176,237,182,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
36014,176,235,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
36731,176,237,176,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
37147,176,236,181,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
37698,176,236,183,,0.983240223,0.970849288,,176,229,176,,,,,,,,,,,,
37847,176,236,182,,0.983240223,0.970849288,,177,229,176,,,,,,,,,,,,
3028,177,229,171,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3379,177,224,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3412,177,224,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3511,177,229,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3545,177,222,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3728,177,230,170,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3895,177,230,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
3929,177,230,176,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4078,177,226,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4145,177,230,177,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
4213,177,230,171,,0.988826816,0.976365477,,177,229,176,,,,,,,,,,,,
